"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2026","AQS","510130020","1","0.2","ppm","2","Aurora Hills Visitors Center","19","79.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/02/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/03/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/04/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/05/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/06/2026","AQS","510130020","1","0.6","ppm","7","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/07/2026","AQS","510130020","1","0.9","ppm","10","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/08/2026","AQS","510130020","1","0.6","ppm","7","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/09/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/10/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/11/2026","AQS","510130020","1","0.2","ppm","2","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/12/2026","AQS","510130020","1","0.2","ppm","2","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/13/2026","AQS","510130020","1","0.5","ppm","6","Aurora Hills Visitors Center","16","67.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/14/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/15/2026","AQS","510130020","1","0.2","ppm","2","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/16/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/17/2026","AQS","510130020","1","0.6","ppm","7","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/18/2026","AQS","510130020","1","0.7","ppm","8","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/19/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/20/2026","AQS","510130020","1","0.3","ppm","3","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/21/2026","AQS","510130020","1","0.5","ppm","6","Aurora Hills Visitors Center","9","38.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/22/2026","AQS","510130020","1","0.1","ppm","1","Aurora Hills Visitors Center","6","25.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/23/2026","AQS","510130020","1","0.4","ppm","5","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"01/24/2026","AQS","510130020","1","0.1","ppm","1","Aurora Hills Visitors Center","24","100.0000","42101","Carbon monoxide","054","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
